pair_id,layer,base_prompt_id,variant_prompt_id,base_prompt_text,variant_prompt_text,mean_forman_curvature_base,mean_forman_curvature_variant,mean_forman_curvature_diff,density_base,density_variant,density_diff,n_edges_base,n_edges_variant,n_edges_diff,lcc_size_base,lcc_size_variant,lcc_size_diff,row_entropy_mean_base,row_entropy_mean_variant,row_entropy_mean_diff,avg_shortest_path_lcc_base,avg_shortest_path_lcc_variant,avg_shortest_path_lcc_diff
P01,0,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",4.012811393420165,19.103269213749446,15.09045782032928,0.3952380952380952,0.3695887445887446,-0.025649350649350644,35.57142857142857,48.785714285714285,13.214285714285715,10.0,12.0,2.0,0.8710349854968842,0.9249589350316432,0.053923949534758986,1.1366248170950113,1.2580164367572397,0.12139161966222844
P01,8,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",13.360047419103392,28.502396536179038,15.142349117075646,0.4103174603174603,0.38690476190476186,-0.02341269841269844,36.92857142857143,51.07142857142857,14.142857142857139,10.0,12.0,2.0,0.8838297374664792,1.0410239479758523,0.1571942105093731,1.2297143271528852,1.5726290366546831,0.3429147095017979
P01,15,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",33.08350339456624,47.103757828602646,14.020254434036403,0.46825396825396826,0.4518398268398268,-0.016414141414141437,42.142857142857146,59.642857142857146,17.5,10.0,12.0,2.0,1.1405746217757937,1.1974431818181819,0.05686856004238816,1.4767371980510247,1.5500364830093531,0.07329928495832849
P01,23,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",31.97907193937286,34.421154733532,2.4420827941591376,0.4507936507936508,0.43181818181818177,-0.018975468975469034,40.57142857142857,57.0,16.42857142857143,10.0,12.0,2.0,0.9888097369481647,1.132400066821606,0.14359032987344145,1.1688088348672878,1.4602392606283117,0.29143042576102385
P02,0,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",-6.648283750596749,11.974573423689758,18.62285717428651,0.36363636363636365,0.327891156462585,-0.03574520717377866,40.0,68.85714285714286,28.85714285714286,11.0,15.0,4.0,0.868543679373605,1.0209282077088648,0.15238452833525984,1.169705067049404,1.4857808346660064,0.3160757676166024
P02,8,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",15.391580066981476,31.415543639992624,16.023963573011148,0.4136363636363636,0.3529993815708101,-0.06063698206555346,45.5,73.28571428571429,27.785714285714292,11.0,14.785714285714286,3.7857142857142865,1.02603759765625,1.1174852587075315,0.09144766105128155,1.3858727704998461,1.776003625967166,0.39013085546731996
P02,15,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",40.1062415439352,66.8363343509082,26.730092806973005,0.4649350649350649,0.43537414965986393,-0.029560915275200994,51.142857142857146,91.42857142857143,40.285714285714285,11.0,15.0,4.0,1.202952357700893,1.3772327656648595,0.1742804079639666,1.603920631005076,1.8759990090086487,0.2720783780035727
P02,23,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",5.437546730441793,39.698733017238794,34.261186286797,0.3967532467532467,0.39897959183673465,0.0022263450834879572,43.642857142857146,83.78571428571429,40.142857142857146,11.0,15.0,4.0,0.9681357519967216,1.2544706694933832,0.2863349174966615,1.1936677305337076,1.4390163427373754,0.24534861220366788
P03,0,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",3.30976802072639,21.02649738607196,17.716729365345568,0.3992063492063492,0.3731684981684981,-0.026037851037851056,35.92857142857143,58.214285714285715,22.285714285714285,10.0,13.0,3.0,0.8751086280459449,0.999348867507208,0.12424023946126306,1.1572644972810924,1.4081031065956187,0.2508386093145263
P03,8,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",4.525855406628268,26.887886398745003,22.362030992116736,0.41349206349206347,0.3759157509157509,-0.037576312576312554,37.214285714285715,58.642857142857146,21.42857142857143,10.0,13.0,3.0,0.8878868042476594,1.0568610847770394,0.16897428052938002,1.2178123876547138,1.6654520154485912,0.44763962779387745
