prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,notes,token_count_actual,token_ids_json,token_strs_json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,Simple descriptive baseline,13,"[785, 16217, 883, 14858, 806, 2409, 5562, 3941, 279, 6176, 3283, 6118, 13]","[""The"", ""\u0120tall"", ""\u0120man"", ""\u0120walked"", ""\u0120his"", ""\u0120big"", ""\u0120dog"", ""\u0120across"", ""\u0120the"", ""\u0120green"", ""\u0120city"", ""\u0120park"", "".""]"
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,Simple descriptive baseline,12,"[785, 9906, 1682, 11691, 264, 2518, 98119, 3941, 279, 4287, 2070, 13]","[""The"", ""\u0120bright"", ""\u0120child"", ""\u0120carried"", ""\u0120a"", ""\u0120red"", ""\u0120kite"", ""\u0120across"", ""\u0120the"", ""\u0120empty"", ""\u0120field"", "".""]"
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,Simple descriptive baseline,12,"[785, 2310, 5220, 9099, 264, 8205, 76148, 29388, 279, 22360, 1965, 13]","[""The"", ""\u0120old"", ""\u0120woman"", ""\u0120placed"", ""\u0120a"", ""\u0120warm"", ""\u0120loaf"", ""\u0120beside"", ""\u0120the"", ""\u0120wooden"", ""\u0120table"", "".""]"
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,Simple descriptive baseline,13,"[785, 3908, 10049, 1901, 36780, 264, 6303, 11958, 29388, 279, 11340, 14796, 13]","[""The"", ""\u0120young"", ""\u0120artist"", ""\u0120sk"", ""etched"", ""\u0120a"", ""\u0120blue"", ""\u0120bird"", ""\u0120beside"", ""\u0120the"", ""\u0120quiet"", ""\u0120river"", "".""]"
A05,descriptive_baseline,scene,,The tired farmer pushed a small cart along the dusty road.,Simple descriptive baseline,12,"[785, 19227, 36400, 15391, 264, 2613, 7406, 3156, 279, 76873, 5636, 13]","[""The"", ""\u0120tired"", ""\u0120farmer"", ""\u0120pushed"", ""\u0120a"", ""\u0120small"", ""\u0120cart"", ""\u0120along"", ""\u0120the"", ""\u0120dusty"", ""\u0120road"", "".""]"
A06,descriptive_baseline,scene,,The calm sailor watched the gray waves beyond the narrow dock.,Simple descriptive baseline,12,"[785, 19300, 92537, 15384, 279, 17545, 16876, 7797, 279, 15026, 27549, 13]","[""The"", ""\u0120calm"", ""\u0120sailor"", ""\u0120watched"", ""\u0120the"", ""\u0120gray"", ""\u0120waves"", ""\u0120beyond"", ""\u0120the"", ""\u0120narrow"", ""\u0120dock"", "".""]"
A07,descriptive_baseline,scene,,The careful baker stirred the sweet cream inside the copper bowl.,Simple descriptive baseline,12,"[785, 16585, 75828, 74840, 279, 10226, 12644, 4766, 279, 23285, 19212, 13]","[""The"", ""\u0120careful"", ""\u0120baker"", ""\u0120stirred"", ""\u0120the"", ""\u0120sweet"", ""\u0120cream"", ""\u0120inside"", ""\u0120the"", ""\u0120copper"", ""\u0120bowl"", "".""]"
A08,descriptive_baseline,scene,,The lonely student opened a worn book beneath the yellow lamp.,Simple descriptive baseline,12,"[785, 39566, 5458, 8930, 264, 23704, 2311, 23969, 279, 13753, 27962, 13]","[""The"", ""\u0120lonely"", ""\u0120student"", ""\u0120opened"", ""\u0120a"", ""\u0120worn"", ""\u0120book"", ""\u0120beneath"", ""\u0120the"", ""\u0120yellow"", ""\u0120lamp"", "".""]"
A09,descriptive_baseline,scene,,The quiet doctor carried a black case through the narrow hall.,Simple descriptive baseline,12,"[785, 11340, 10668, 11691, 264, 3691, 1142, 1526, 279, 15026, 13994, 13]","[""The"", ""\u0120quiet"", ""\u0120doctor"", ""\u0120carried"", ""\u0120a"", ""\u0120black"", ""\u0120case"", ""\u0120through"", ""\u0120the"", ""\u0120narrow"", ""\u0120hall"", "".""]"
A10,descriptive_baseline,scene,,The eager runner crossed the long bridge above the shallow creek.,Simple descriptive baseline,12,"[785, 23541, 22259, 27031, 279, 1293, 14164, 3403, 279, 25600, 64405, 13]","[""The"", ""\u0120eager"", ""\u0120runner"", ""\u0120crossed"", ""\u0120the"", ""\u0120long"", ""\u0120bridge"", ""\u0120above"", ""\u0120the"", ""\u0120shallow"", ""\u0120creek"", "".""]"
