prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,notes,token_count_actual,token_ids_json,token_strs_json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,Simple descriptive baseline,13,"[464, 7331, 582, 6807, 465, 1263, 3290, 1973, 262, 4077, 1748, 3952, 13]","[""The"", ""\u0120tall"", ""\u0120man"", ""\u0120walked"", ""\u0120his"", ""\u0120big"", ""\u0120dog"", ""\u0120across"", ""\u0120the"", ""\u0120green"", ""\u0120city"", ""\u0120park"", "".""]"
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,Simple descriptive baseline,13,"[464, 6016, 1200, 5281, 257, 2266, 479, 578, 1973, 262, 6565, 2214, 13]","[""The"", ""\u0120bright"", ""\u0120child"", ""\u0120carried"", ""\u0120a"", ""\u0120red"", ""\u0120k"", ""ite"", ""\u0120across"", ""\u0120the"", ""\u0120empty"", ""\u0120field"", "".""]"
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,Simple descriptive baseline,12,"[464, 1468, 2415, 4624, 257, 5814, 40134, 13970, 262, 13510, 3084, 13]","[""The"", ""\u0120old"", ""\u0120woman"", ""\u0120placed"", ""\u0120a"", ""\u0120warm"", ""\u0120loaf"", ""\u0120beside"", ""\u0120the"", ""\u0120wooden"", ""\u0120table"", "".""]"
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,Simple descriptive baseline,13,"[464, 1862, 6802, 28427, 1740, 257, 4171, 6512, 13970, 262, 5897, 7850, 13]","[""The"", ""\u0120young"", ""\u0120artist"", ""\u0120sket"", ""ched"", ""\u0120a"", ""\u0120blue"", ""\u0120bird"", ""\u0120beside"", ""\u0120the"", ""\u0120quiet"", ""\u0120river"", "".""]"
A05,descriptive_baseline,scene,,The tired farmer pushed a small cart along the dusty road.,Simple descriptive baseline,12,"[464, 10032, 18739, 7121, 257, 1402, 6383, 1863, 262, 36972, 2975, 13]","[""The"", ""\u0120tired"", ""\u0120farmer"", ""\u0120pushed"", ""\u0120a"", ""\u0120small"", ""\u0120cart"", ""\u0120along"", ""\u0120the"", ""\u0120dusty"", ""\u0120road"", "".""]"
A06,descriptive_baseline,scene,,The calm sailor watched the gray waves beyond the narrow dock.,Simple descriptive baseline,12,"[464, 9480, 43272, 7342, 262, 12768, 9813, 3675, 262, 7135, 23423, 13]","[""The"", ""\u0120calm"", ""\u0120sailor"", ""\u0120watched"", ""\u0120the"", ""\u0120gray"", ""\u0120waves"", ""\u0120beyond"", ""\u0120the"", ""\u0120narrow"", ""\u0120dock"", "".""]"
A07,descriptive_baseline,scene,,The careful baker stirred the sweet cream inside the copper bowl.,Simple descriptive baseline,12,"[464, 8161, 46412, 33091, 262, 6029, 8566, 2641, 262, 15317, 9396, 13]","[""The"", ""\u0120careful"", ""\u0120baker"", ""\u0120stirred"", ""\u0120the"", ""\u0120sweet"", ""\u0120cream"", ""\u0120inside"", ""\u0120the"", ""\u0120copper"", ""\u0120bowl"", "".""]"
A08,descriptive_baseline,scene,,The lonely student opened a worn book beneath the yellow lamp.,Simple descriptive baseline,12,"[464, 21757, 3710, 4721, 257, 12666, 1492, 11061, 262, 7872, 20450, 13]","[""The"", ""\u0120lonely"", ""\u0120student"", ""\u0120opened"", ""\u0120a"", ""\u0120worn"", ""\u0120book"", ""\u0120beneath"", ""\u0120the"", ""\u0120yellow"", ""\u0120lamp"", "".""]"
A09,descriptive_baseline,scene,,The quiet doctor carried a black case through the narrow hall.,Simple descriptive baseline,12,"[464, 5897, 6253, 5281, 257, 2042, 1339, 832, 262, 7135, 6899, 13]","[""The"", ""\u0120quiet"", ""\u0120doctor"", ""\u0120carried"", ""\u0120a"", ""\u0120black"", ""\u0120case"", ""\u0120through"", ""\u0120the"", ""\u0120narrow"", ""\u0120hall"", "".""]"
A10,descriptive_baseline,scene,,The eager runner crossed the long bridge above the shallow creek.,Simple descriptive baseline,12,"[464, 11069, 17490, 12606, 262, 890, 7696, 2029, 262, 19337, 39459, 13]","[""The"", ""\u0120eager"", ""\u0120runner"", ""\u0120crossed"", ""\u0120the"", ""\u0120long"", ""\u0120bridge"", ""\u0120above"", ""\u0120the"", ""\u0120shallow"", ""\u0120creek"", "".""]"
