prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,layer,head,payload_path
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,0,results\qwen_0p5b\graph_payloads\A01_layer0_head0.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,1,results\qwen_0p5b\graph_payloads\A01_layer0_head1.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,2,results\qwen_0p5b\graph_payloads\A01_layer0_head2.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,3,results\qwen_0p5b\graph_payloads\A01_layer0_head3.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,4,results\qwen_0p5b\graph_payloads\A01_layer0_head4.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,5,results\qwen_0p5b\graph_payloads\A01_layer0_head5.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,6,results\qwen_0p5b\graph_payloads\A01_layer0_head6.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,7,results\qwen_0p5b\graph_payloads\A01_layer0_head7.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,8,results\qwen_0p5b\graph_payloads\A01_layer0_head8.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,9,results\qwen_0p5b\graph_payloads\A01_layer0_head9.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,10,results\qwen_0p5b\graph_payloads\A01_layer0_head10.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,11,results\qwen_0p5b\graph_payloads\A01_layer0_head11.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,12,results\qwen_0p5b\graph_payloads\A01_layer0_head12.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,13,results\qwen_0p5b\graph_payloads\A01_layer0_head13.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,0,results\qwen_0p5b\graph_payloads\A01_layer8_head0.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,1,results\qwen_0p5b\graph_payloads\A01_layer8_head1.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,2,results\qwen_0p5b\graph_payloads\A01_layer8_head2.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,3,results\qwen_0p5b\graph_payloads\A01_layer8_head3.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,4,results\qwen_0p5b\graph_payloads\A01_layer8_head4.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,5,results\qwen_0p5b\graph_payloads\A01_layer8_head5.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,6,results\qwen_0p5b\graph_payloads\A01_layer8_head6.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,7,results\qwen_0p5b\graph_payloads\A01_layer8_head7.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,8,results\qwen_0p5b\graph_payloads\A01_layer8_head8.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,9,results\qwen_0p5b\graph_payloads\A01_layer8_head9.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,10,results\qwen_0p5b\graph_payloads\A01_layer8_head10.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,11,results\qwen_0p5b\graph_payloads\A01_layer8_head11.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,12,results\qwen_0p5b\graph_payloads\A01_layer8_head12.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,13,results\qwen_0p5b\graph_payloads\A01_layer8_head13.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,0,results\qwen_0p5b\graph_payloads\A01_layer15_head0.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,1,results\qwen_0p5b\graph_payloads\A01_layer15_head1.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,2,results\qwen_0p5b\graph_payloads\A01_layer15_head2.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,3,results\qwen_0p5b\graph_payloads\A01_layer15_head3.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,4,results\qwen_0p5b\graph_payloads\A01_layer15_head4.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,5,results\qwen_0p5b\graph_payloads\A01_layer15_head5.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,6,results\qwen_0p5b\graph_payloads\A01_layer15_head6.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,7,results\qwen_0p5b\graph_payloads\A01_layer15_head7.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,8,results\qwen_0p5b\graph_payloads\A01_layer15_head8.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,9,results\qwen_0p5b\graph_payloads\A01_layer15_head9.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,10,results\qwen_0p5b\graph_payloads\A01_layer15_head10.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,11,results\qwen_0p5b\graph_payloads\A01_layer15_head11.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,12,results\qwen_0p5b\graph_payloads\A01_layer15_head12.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,13,results\qwen_0p5b\graph_payloads\A01_layer15_head13.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,0,results\qwen_0p5b\graph_payloads\A01_layer23_head0.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,1,results\qwen_0p5b\graph_payloads\A01_layer23_head1.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,2,results\qwen_0p5b\graph_payloads\A01_layer23_head2.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,3,results\qwen_0p5b\graph_payloads\A01_layer23_head3.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,4,results\qwen_0p5b\graph_payloads\A01_layer23_head4.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,5,results\qwen_0p5b\graph_payloads\A01_layer23_head5.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,6,results\qwen_0p5b\graph_payloads\A01_layer23_head6.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,7,results\qwen_0p5b\graph_payloads\A01_layer23_head7.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,8,results\qwen_0p5b\graph_payloads\A01_layer23_head8.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,9,results\qwen_0p5b\graph_payloads\A01_layer23_head9.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,10,results\qwen_0p5b\graph_payloads\A01_layer23_head10.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,11,results\qwen_0p5b\graph_payloads\A01_layer23_head11.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,12,results\qwen_0p5b\graph_payloads\A01_layer23_head12.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,13,results\qwen_0p5b\graph_payloads\A01_layer23_head13.json
