prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,layer,head,payload_path
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,0,results\gpt2\graph_payloads\A01_layer8_head0.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,1,results\gpt2\graph_payloads\A01_layer8_head1.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,2,results\gpt2\graph_payloads\A01_layer8_head2.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,3,results\gpt2\graph_payloads\A01_layer8_head3.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,4,results\gpt2\graph_payloads\A01_layer8_head4.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,5,results\gpt2\graph_payloads\A01_layer8_head5.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,6,results\gpt2\graph_payloads\A01_layer8_head6.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,7,results\gpt2\graph_payloads\A01_layer8_head7.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,8,results\gpt2\graph_payloads\A01_layer8_head8.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,9,results\gpt2\graph_payloads\A01_layer8_head9.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,10,results\gpt2\graph_payloads\A01_layer8_head10.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,11,results\gpt2\graph_payloads\A01_layer8_head11.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,0,results\gpt2\graph_payloads\A01_layer11_head0.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,1,results\gpt2\graph_payloads\A01_layer11_head1.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,2,results\gpt2\graph_payloads\A01_layer11_head2.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,3,results\gpt2\graph_payloads\A01_layer11_head3.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,4,results\gpt2\graph_payloads\A01_layer11_head4.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,5,results\gpt2\graph_payloads\A01_layer11_head5.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,6,results\gpt2\graph_payloads\A01_layer11_head6.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,7,results\gpt2\graph_payloads\A01_layer11_head7.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,8,results\gpt2\graph_payloads\A01_layer11_head8.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,9,results\gpt2\graph_payloads\A01_layer11_head9.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,10,results\gpt2\graph_payloads\A01_layer11_head10.json
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,11,results\gpt2\graph_payloads\A01_layer11_head11.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,0,results\gpt2\graph_payloads\A02_layer8_head0.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,1,results\gpt2\graph_payloads\A02_layer8_head1.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,2,results\gpt2\graph_payloads\A02_layer8_head2.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,3,results\gpt2\graph_payloads\A02_layer8_head3.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,4,results\gpt2\graph_payloads\A02_layer8_head4.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,5,results\gpt2\graph_payloads\A02_layer8_head5.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,6,results\gpt2\graph_payloads\A02_layer8_head6.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,7,results\gpt2\graph_payloads\A02_layer8_head7.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,8,results\gpt2\graph_payloads\A02_layer8_head8.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,9,results\gpt2\graph_payloads\A02_layer8_head9.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,10,results\gpt2\graph_payloads\A02_layer8_head10.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,11,results\gpt2\graph_payloads\A02_layer8_head11.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,0,results\gpt2\graph_payloads\A02_layer11_head0.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,1,results\gpt2\graph_payloads\A02_layer11_head1.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,2,results\gpt2\graph_payloads\A02_layer11_head2.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,3,results\gpt2\graph_payloads\A02_layer11_head3.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,4,results\gpt2\graph_payloads\A02_layer11_head4.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,5,results\gpt2\graph_payloads\A02_layer11_head5.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,6,results\gpt2\graph_payloads\A02_layer11_head6.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,7,results\gpt2\graph_payloads\A02_layer11_head7.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,8,results\gpt2\graph_payloads\A02_layer11_head8.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,9,results\gpt2\graph_payloads\A02_layer11_head9.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,10,results\gpt2\graph_payloads\A02_layer11_head10.json
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,11,results\gpt2\graph_payloads\A02_layer11_head11.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,0,results\gpt2\graph_payloads\A03_layer8_head0.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,1,results\gpt2\graph_payloads\A03_layer8_head1.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,2,results\gpt2\graph_payloads\A03_layer8_head2.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,3,results\gpt2\graph_payloads\A03_layer8_head3.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,4,results\gpt2\graph_payloads\A03_layer8_head4.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,5,results\gpt2\graph_payloads\A03_layer8_head5.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,6,results\gpt2\graph_payloads\A03_layer8_head6.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,7,results\gpt2\graph_payloads\A03_layer8_head7.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,8,results\gpt2\graph_payloads\A03_layer8_head8.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,9,results\gpt2\graph_payloads\A03_layer8_head9.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,10,results\gpt2\graph_payloads\A03_layer8_head10.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,11,results\gpt2\graph_payloads\A03_layer8_head11.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,11,0,results\gpt2\graph_payloads\A03_layer11_head0.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,11,1,results\gpt2\graph_payloads\A03_layer11_head1.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,11,2,results\gpt2\graph_payloads\A03_layer11_head2.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,11,3,results\gpt2\graph_payloads\A03_layer11_head3.json
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,11,4,results\gpt2\graph_payloads\A03_layer11_head4.json
