pair_id,layer,base_prompt_id,variant_prompt_id,base_prompt_text,variant_prompt_text,mean_forman_curvature_base,mean_forman_curvature_variant,mean_forman_curvature_diff,density_base,density_variant,density_diff,n_edges_base,n_edges_variant,n_edges_diff,lcc_size_base,lcc_size_variant,lcc_size_diff,row_entropy_mean_base,row_entropy_mean_variant,row_entropy_mean_diff,avg_shortest_path_lcc_base,avg_shortest_path_lcc_variant,avg_shortest_path_lcc_diff
P01,8,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",38.78211723811356,47.46837198355619,8.686254745442632,0.47962962962962963,0.46401515151515155,-0.015614478114478081,43.166666666666664,61.25,18.083333333333336,10.0,12.0,2.0,1.1548581004694656,1.2613480917432092,0.10648999127374359,1.4268727882150498,1.63948678531119,0.21261399709614026
P01,11,E01,E02,Alice is older than Bob and Alice is smiling today.,"If Alice is older than Bob, then Alice is the oldest.",38.0493322680426,56.37663048761565,18.327298219573052,0.4953703703703704,0.494949494949495,-0.00042087542087543284,44.583333333333336,65.33333333333333,20.749999999999993,10.0,12.0,2.0,1.2423379426753078,1.4010624291770386,0.15872448650173077,1.4993657121795285,1.7476063250005958,0.24824061282106724
P02,8,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",44.064779343180305,65.10049822332786,21.035718880147556,0.4856060606060606,0.444047619047619,-0.04155844155844157,53.416666666666664,93.25,39.833333333333336,11.0,15.0,4.0,1.2506427687903245,1.4420106952921266,0.191367926501802,1.6360698973490406,2.0223003315759653,0.3862304342269247
P02,11,E03,E04,The bird is above the tree and the sky is bright.,"If the bird is above the tree, then the tree is below the bird.",47.541074899968486,88.11834569354907,40.57727079358059,0.49772727272727274,0.49642857142857144,-0.0012987012987012991,54.75,104.25,49.5,11.0,15.0,4.0,1.3145819048086802,1.5812691230149498,0.2666872182062696,1.594831252857884,1.9800734635790593,0.38524221072117526
P03,8,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",40.013233182927024,53.363883773555216,13.350650590628192,0.4861111111111111,0.4577991452991452,-0.028311965811965878,43.75,71.41666666666667,27.66666666666667,10.0,13.0,3.0,1.1366083296360794,1.3153623503943284,0.17875402075824898,1.3838298876744604,1.8044876650524142,0.42065777737795385
P03,11,E05,E06,Carl is taller than Dana and Carl is wearing black.,"If Carl is taller than Dana, then Dana is shorter than Carl.",39.8711366414465,60.22296809620399,20.351831454757495,0.4888888888888889,0.4807692307692308,-0.00811965811965809,44.0,75.0,31.0,10.0,13.0,3.0,1.1982613590856392,1.4182655002093976,0.22000414112375832,1.5042306963725114,1.7820393513677015,0.27780865499519014
P04,8,E07,E08,The cup is inside the box and the lid is closed.,"If the cup is inside the box, then the box contains the cup.",40.64738705324766,66.16386237836691,25.516475325119252,0.4825757575757576,0.4702380952380952,-0.012337662337662425,53.083333333333336,85.58333333333333,32.49999999999999,11.0,14.0,3.0,1.2785908992091815,1.4425537287233732,0.16396282951419172,1.665192826882011,1.987090437438772,0.3218976105567608
P04,11,E07,E08,The cup is inside the box and the lid is closed.,"If the cup is inside the box, then the box contains the cup.",46.90421264344772,76.69266702936643,29.788454385918712,0.49772727272727274,0.5,0.0022727272727272596,54.75,91.0,36.25,11.0,14.0,3.0,1.3333868364493053,1.5437809294806077,0.2103940930313024,1.628772828093873,1.8832395747489368,0.25446674665506386
P05,8,E09,E10,Every rose is red and this flower smells sweet tonight.,"If every rose is red, then this flower is red.",37.865158670131784,45.53540804850499,7.670249378373207,0.4916666666666667,0.4803030303030303,-0.011363636363636409,44.25,52.833333333333336,8.583333333333336,10.0,11.0,1.0,1.199884084087831,1.190622531250119,-0.009261552837712017,1.5581000197194677,1.543591450536885,-0.014508569182582587
P05,11,E09,E10,Every rose is red and this flower smells sweet tonight.,"If every rose is red, then this flower is red.",37.214232528532484,46.160840457605495,8.94660792907301,0.49907407407407406,0.4984848484848485,-0.0005892255892255838,44.916666666666664,54.833333333333336,9.916666666666671,10.0,11.0,1.0,1.284018372495969,1.3468215125302472,0.06280314003427812,1.5947134805367391,1.6745393680653564,0.0798258875286173
