prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,layer,token_count_actual,mean_forman_curvature_mean,mean_forman_curvature_std,density_mean,density_std,n_edges_mean,n_edges_std,lcc_size_mean,lcc_size_std,row_entropy_mean_mean,row_entropy_mean_std,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,13,53.85954939005931,13.015435254001584,0.481060606060606,0.051735471179954196,63.5,6.829082195753953,12.0,0.0,1.3295798158329546,0.18408062723659716,1.7407978444844412,0.19161854738754475
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,11,13,51.224996694855356,20.23532535671071,0.47222222222222227,0.042282986666089234,62.333333333333336,5.581354239923778,12.0,0.0,1.2958991328875225,0.1549834666727285,1.7555409506258812,0.14861786347217426
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,13,48.53305861325136,22.828169166375446,0.480429292929293,0.05390447663172823,63.416666666666664,7.115390915388128,12.0,0.0,1.3370605634920525,0.17773918202752573,1.7500221865281649,0.16710099897149752
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,11,13,54.97462423527528,8.601947008790383,0.4791666666666667,0.024415061949969924,63.25,3.222788177396033,12.0,0.0,1.3134329156442122,0.11977941728751512,1.7084125799921683,0.15228387261103066
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,12,41.46421494647632,22.82161752280758,0.4727272727272727,0.0539916792431771,52.0,5.939084716749481,11.0,0.0,1.1950946709762016,0.18649404353309548,1.4959980737416936,0.17703694166029077
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,11,12,50.825544534852526,7.019492375046603,0.49166666666666664,0.013121597027036962,54.083333333333336,1.4433756729740634,11.0,0.0,1.2591030736764273,0.09159888177126475,1.7026263894099103,0.08593173681084179
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,8,13,50.594028688590534,24.091517065143062,0.480429292929293,0.051932591357783615,63.416666666666664,6.855102059227437,12.0,0.0,1.3421603922139516,0.16312067737916697,1.8190493424960323,0.16516921347169952
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,11,13,56.04375943388711,6.295989175271673,0.49116161616161613,0.01609764082484683,64.83333333333333,2.1248885888797817,12.0,0.0,1.374387131495909,0.09128430464115016,1.8226786517541367,0.08817763547548177
A05,descriptive_baseline,scene,,The tired farmer pushed a small cart along the dusty road.,8,12,46.62499199645557,14.461163169586316,0.48333333333333334,0.04681169550403974,53.166666666666664,5.149286505444372,11.0,0.0,1.2353663889070352,0.17705343319132238,1.605375488710787,0.22844648245523563
A05,descriptive_baseline,scene,,The tired farmer pushed a small cart along the dusty road.,11,12,47.39088284979825,8.537070288786817,0.48181818181818176,0.01598271041802787,53.0,1.7580981459830642,11.0,0.0,1.223753420015176,0.09319525151192529,1.6263830958008738,0.16367814411519968
A06,descriptive_baseline,scene,,The calm sailor watched the gray waves beyond the narrow dock.,8,12,44.911441837645604,15.037266045762957,0.47575757575757577,0.046408717887029105,52.333333333333336,5.104958967573203,11.0,0.0,1.193769235536456,0.19543031208141082,1.496123330003764,0.2414676762736357
A06,descriptive_baseline,scene,,The calm sailor watched the gray waves beyond the narrow dock.,11,12,50.15008730806025,4.349137852505656,0.49318181818181817,0.008775520901485678,54.25,0.9653072991634225,11.0,0.0,1.2726609972616036,0.06852642752217204,1.621115443645076,0.14915636669067878
A07,descriptive_baseline,scene,,The careful baker stirred the sweet cream inside the copper bowl.,8,12,40.417772583036815,15.417166453483032,0.47878787878787876,0.03824342399796866,52.666666666666664,4.2067766397765505,11.0,0.0,1.2264804888516665,0.15668683252068036,1.5720199182970118,0.20631131646700746
A07,descriptive_baseline,scene,,The careful baker stirred the sweet cream inside the copper bowl.,11,12,42.3292542546458,12.198556063671889,0.4916666666666667,0.01368220028204444,54.083333333333336,1.505042031024887,11.0,0.0,1.2840853399286667,0.102378506372326,1.6505112679535596,0.13207690524046084
A08,descriptive_baseline,scene,,The lonely student opened a worn book beneath the yellow lamp.,8,12,41.35278843505985,13.661314670599005,0.4696969696969697,0.05541094795270859,51.666666666666664,6.095204274797945,11.0,0.0,1.2100587950398525,0.18883613362073098,1.6117279417565882,0.19913277700885543
A08,descriptive_baseline,scene,,The lonely student opened a worn book beneath the yellow lamp.,11,12,49.868559998907095,5.663968422463643,0.4916666666666667,0.010586365026193784,54.083333333333336,1.1645001528813144,11.0,0.0,1.2653952884177369,0.09869201923300076,1.5804489614336938,0.1397683478395635
A09,descriptive_baseline,scene,,The quiet doctor carried a black case through the narrow hall.,8,12,40.39407247349324,23.898529595944144,0.47500000000000003,0.05428657574885745,52.25,5.97152333237432,11.0,0.0,1.2313373106221357,0.18729516992101816,1.5895528102733938,0.16258939448044096
A09,descriptive_baseline,scene,,The quiet doctor carried a black case through the narrow hall.,11,12,48.058858598258105,11.852979678265392,0.4772727272727273,0.024669110010907918,52.5,2.713602101199872,11.0,0.0,1.2120454363524915,0.12708020062417233,1.544632224322779,0.19045901409036828
A10,descriptive_baseline,scene,,The eager runner crossed the long bridge above the shallow creek.,8,12,37.83215878746001,22.86470365811527,0.4742424242424242,0.045509608521922956,52.166666666666664,5.006056937411525,11.0,0.0,1.199590824606518,0.17699515437712646,1.6259529636137569,0.16684673973288364
A10,descriptive_baseline,scene,,The eager runner crossed the long bridge above the shallow creek.,11,12,46.25717398735657,5.8080373932278615,0.48484848484848486,0.018319041397847177,53.333333333333336,2.015094553763188,11.0,0.0,1.2678629597028097,0.10292905402112751,1.6469587071927647,0.11225875275431642
B01,logical_relational,conditional_comparison,,"If Alice is older than Bob, then Alice is the oldest.",8,13,47.46837198355619,19.751471651317846,0.46401515151515155,0.050056838050816926,61.25,6.607502622707834,12.0,0.0,1.2613480917432092,0.19441945218822282,1.63948678531119,0.2403024132060418
B01,logical_relational,conditional_comparison,,"If Alice is older than Bob, then Alice is the oldest.",11,13,56.37663048761565,5.126398507021285,0.494949494949495,0.013055158134171642,65.33333333333333,1.7232808737106569,12.0,0.0,1.4010624291770386,0.07526444397810332,1.7476063250005958,0.14497410927876112
B02,logical_relational,conditional_set,,"If every rose is red, then this flower is red.",8,12,45.53540804850499,9.187636059980047,0.4803030303030303,0.026243194054073913,52.833333333333336,2.8867513459481287,11.0,0.0,1.190622531250119,0.1659824802875619,1.543591450536885,0.2648394464506663
B02,logical_relational,conditional_set,,"If every rose is red, then this flower is red.",11,12,46.160840457605495,4.514535827816852,0.4984848484848485,0.00524863881081478,54.833333333333336,0.5773502691896257,11.0,0.0,1.3468215125302472,0.06506863634650938,1.6745393680653564,0.14312956189517564
B03,logical_relational,conditional_negation,,"If no bird can swim, then this duck cannot swim.",8,12,41.12814008454318,13.841295049960877,0.47954545454545455,0.02716922508806243,52.75,2.9886147596868664,11.0,0.0,1.2152038841197887,0.15509395620574715,1.6214149617077596,0.16971087455326664
B03,logical_relational,conditional_negation,,"If no bird can swim, then this duck cannot swim.",11,12,47.560531690156154,4.277251176121068,0.5,0.0,55.0,0.0,11.0,0.0,1.3431248431404432,0.06266815169505702,1.7055685775035414,0.11136308902262033
B04,logical_relational,transitive_comparison,,"If Carl is taller than Dana, and Dana is taller than Eric, then Carl is tallest.",8,19,83.04534827961925,30.798798401093688,0.4215686274509804,0.06258210658131914,129.0,19.15012461388366,18.0,0.0,1.5045716562399676,0.23865700033899892,2.123011661550397,0.1636792996556969
B04,logical_relational,transitive_comparison,,"If Carl is taller than Dana, and Dana is taller than Eric, then Carl is tallest.",11,19,97.78300006180574,19.60769702016283,0.4564270152505447,0.025593333604511402,139.66666666666666,7.831560082980486,18.0,0.0,1.6630593266557245,0.11253953097658281,2.1144093236799533,0.2143154984779039
B05,logical_relational,conditional_order,,"If the lamp is above the desk, then the desk is below the lamp.",8,16,67.13514017418494,25.333955184008975,0.4531746031746032,0.055377988751400216,95.16666666666667,11.629377637794047,15.0,0.0,1.4549678899347782,0.2128164842213978,2.061481043533395,0.1836548920294802
B05,logical_relational,conditional_order,,"If the lamp is above the desk, then the desk is below the lamp.",11,16,89.75300599285566,7.762187439352755,0.49642857142857144,0.0021536524612697314,104.25,0.452267016866644,15.0,0.0,1.5683759705473979,0.08148883098825857,1.947971651773063,0.22696658337522702
B06,logical_relational,conditional_identity,,"If the key opens the chest, then the chest opens with the key.",8,15,70.23594934491491,17.233998920976894,0.4720695970695971,0.04939270305888606,85.91666666666667,8.989471956717262,14.0,0.0,1.4330033006576393,0.1844414108244095,1.9859944254079043,0.18109345736913574
B06,logical_relational,conditional_identity,,"If the key opens the chest, then the chest opens with the key.",11,15,71.69186768130591,5.545519028710039,0.4935897435897436,0.007346790367269466,89.83333333333333,1.3371158468430433,14.0,0.0,1.562956880300473,0.03754433755464556,2.0226749566667745,0.09985705342792334
B07,logical_relational,conditional_membership,,"If every square is blue, then this tile is blue.",8,12,44.28046665931123,11.130138040284466,0.481060606060606,0.027261246435648246,52.916666666666664,2.9987371079213077,11.0,0.0,1.2150685938696066,0.1697471823061975,1.5898532197513324,0.26846831549080796
B07,logical_relational,conditional_membership,,"If every square is blue, then this tile is blue.",11,12,45.35231932877951,5.016833798033489,0.49924242424242427,0.002624319405407392,54.916666666666664,0.2886751345948133,11.0,0.0,1.364448315401872,0.06999475122556958,1.719652137728574,0.13316566223649948
B08,logical_relational,conditional_exclusion,,"If no cat is silent, then this kitten is not silent.",8,13,45.47694469029498,25.59695279740819,0.4703282828282829,0.046076816477140195,62.083333333333336,6.082139774982506,12.0,0.0,1.2660646377639337,0.19413467934413292,1.7307657070424682,0.2776202213291891
B08,logical_relational,conditional_exclusion,,"If no cat is silent, then this kitten is not silent.",11,13,56.438036286594894,7.825174361322379,0.4968434343434343,0.008821970855161468,65.58333333333333,1.1645001528813121,12.0,0.0,1.3833522241223941,0.10340793798828386,1.7304319030500983,0.21404790483585748
